,tweet id,user id,politician name,twitter handle,tweet text,tweet lang,tweet creation date,election year,x coordinate,y coordinate
0,943472724,813286,Barack Obama,BarackObama,Launching an official iPhone App. Tell iPhone users to visit http://barackobama.com/iphone to download the free app & start making calls.,en,2008-10-02 16:23:33+00:00,2008,3,2
1,965620801,813286,Barack Obama,BarackObama,"In Kansas City, MO.  At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-18 22:56:25+00:00,2008,3,2
2,943293898,813286,Barack Obama,BarackObama,"In Grand Rapids, MI.  At a ""Change We Need"" rally.  Watch it live now at http://my.barackobama.com/livestream",en,2008-10-02 14:09:40+00:00,2008,3,2
3,969051581,813286,Barack Obama,BarackObama,"In Florida at Palm Beach Community College, Lake Worth Campus.  Watch the event live at http://My.BarackObama.com/Livestream",en,2008-10-21 15:11:33+00:00,2008,3,2
4,964005719,813286,Barack Obama,BarackObama,"In Roanoke, VA at a ""Change We Need"" rally.  Watch it live at http://My/BarackObama.com/Livestream",en,2008-10-17 16:04:10+00:00,2008,3,2
5,988808304,813286,Barack Obama,BarackObama,"Asking you to vote Nov. 4th. Visit http://VoteForChange.com, call 877-874-6226 or text VOTE to 62262 to find your polling locations.",en,2008-11-04 04:50:12+00:00,2008,3,2
6,981628393,813286,Barack Obama,BarackObama,"In Kissimmee, FL. At an ""Early Vote for Change"" rally with President Bill Clinton.  Watch it live: http://My.BarackObama.com/Livestream",en,2008-10-30 03:21:06+00:00,2008,3,2
7,942566583,813286,Barack Obama,BarackObama,Asking you to work on behalf of democracy and register at least 1 or 2 more people to vote. http://tinyurl.com/4hny2a,en,2008-10-01 23:16:26+00:00,2008,3,2
8,985613491,813286,Barack Obama,BarackObama,"In Pueblo, CO.  At a ""Change We Need"" rally. Watch it live at http://My.BarackObama.com/Livestream",en,2008-11-01 21:31:02+00:00,2008,3,2
9,978470306,813286,Barack Obama,BarackObama,"Delivered my closing argument earlier today in Canton, Ohio. Watch the full speech at http://tinyurl.com/67pymg",en,2008-10-28 03:57:23+00:00,2008,3,2
10,976539726,813286,Barack Obama,BarackObama,"In Fort Collins, CO. At an ""Early Vote for Change"" rally.  Watch it live at http://my.barackobama.com/livestream",en,2008-10-26 21:22:41+00:00,2008,3,2
11,959818271,813286,Barack Obama,BarackObama,Launching a tax calculator at http://Taxcut.BarackObama.com. See how much of a tax cut you'll receive under my tax plan.,en,2008-10-14 23:30:06+00:00,2008,3,2
12,940806510,813286,Barack Obama,BarackObama,"In Reno, NV.  At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-09-30 17:07:11+00:00,2008,3,2
13,978002746,813286,Barack Obama,BarackObama,"In Pittsburgh, PA. At a ""Change We Need Rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-27 21:28:00+00:00,2008,3,2
14,945036801,813286,Barack Obama,BarackObama,"In Abington, PA.  At a community gathering.  Watch it live now at http://my.barackobama.com/livestream",en,2008-10-03 15:25:12+00:00,2008,3,2
15,969610873,813286,Barack Obama,BarackObama,"In Miami, FL. At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-21 22:02:21+00:00,2008,3,2
16,951497126,813286,Barack Obama,BarackObama,"With Senator Evan Bayh at a ""Change We Need"" Rally in Indianapolis, Indiana.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-08 16:30:11+00:00,2008,3,2
17,968082414,813286,Barack Obama,BarackObama,"In Orlando, FL.  At an ""Early Vote for Change Rally"" with Hillary Clinton.  Watch it live at http://my.barackobama.com/livestream",en,2008-10-20 22:06:33+00:00,2008,3,2
18,967723827,813286,Barack Obama,BarackObama,"In Tampa, FL at an ""Early Vote for Change"" rally.  Watch it live at http://My.BarackObama.com/LiveStream",en,2008-10-20 17:13:56+00:00,2008,3,2
19,970751903,813286,Barack Obama,BarackObama,"In Richmond, VA.  At a ""Change We Need"" rally at the Richmond Coliseum.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-22 16:52:14+00:00,2008,3,2
