tweet id,user id,politician name,twitter handle,tweet text,tweet lang,tweet translated,tweet creation date,election year,x coordinate,y coordinate
943472724,813286,Barack Obama,BarackObama,Launching an official iPhone App. Tell iPhone users to visit http://barackobama.com/iphone to download the free app & start making calls.,en,Launching an official iPhone App. Tell iPhone users to visit http://barackobama.com/iphone to download the free app & start making calls.,2008-10-02 16:23:33+00:00,2008,3,2
965620801,813286,Barack Obama,BarackObama,"In Kansas City, MO.  At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,"In Kansas City, MO.  At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",2008-10-18 22:56:25+00:00,2008,3,2
943293898,813286,Barack Obama,BarackObama,"In Grand Rapids, MI.  At a ""Change We Need"" rally.  Watch it live now at http://my.barackobama.com/livestream",en,"In Grand Rapids, MI.  At a ""Change We Need"" rally.  Watch it live now at http://my.barackobama.com/livestream",2008-10-02 14:09:40+00:00,2008,3,2
969051581,813286,Barack Obama,BarackObama,"In Florida at Palm Beach Community College, Lake Worth Campus.  Watch the event live at http://My.BarackObama.com/Livestream",en,"In Florida at Palm Beach Community College, Lake Worth Campus.  Watch the event live at http://My.BarackObama.com/Livestream",2008-10-21 15:11:33+00:00,2008,3,2
964005719,813286,Barack Obama,BarackObama,"In Roanoke, VA at a ""Change We Need"" rally.  Watch it live at http://My/BarackObama.com/Livestream",en,"In Roanoke, VA at a ""Change We Need"" rally.  Watch it live at http://My/BarackObama.com/Livestream",2008-10-17 16:04:10+00:00,2008,3,2
988808304,813286,Barack Obama,BarackObama,"Asking you to vote Nov. 4th. Visit http://VoteForChange.com, call 877-874-6226 or text VOTE to 62262 to find your polling locations.",en,"Asking you to vote Nov. 4th. Visit http://VoteForChange.com, call 877-874-6226 or text VOTE to 62262 to find your polling locations.",2008-11-04 04:50:12+00:00,2008,3,2
981628393,813286,Barack Obama,BarackObama,"In Kissimmee, FL. At an ""Early Vote for Change"" rally with President Bill Clinton.  Watch it live: http://My.BarackObama.com/Livestream",en,"In Kissimmee, FL. At an ""Early Vote for Change"" rally with President Bill Clinton.  Watch it live: http://My.BarackObama.com/Livestream",2008-10-30 03:21:06+00:00,2008,3,2
942566583,813286,Barack Obama,BarackObama,Asking you to work on behalf of democracy and register at least 1 or 2 more people to vote. http://tinyurl.com/4hny2a,en,Asking you to work on behalf of democracy and register at least 1 or 2 more people to vote. http://tinyurl.com/4hny2a,2008-10-01 23:16:26+00:00,2008,3,2
985613491,813286,Barack Obama,BarackObama,"In Pueblo, CO.  At a ""Change We Need"" rally. Watch it live at http://My.BarackObama.com/Livestream",en,"In Pueblo, CO.  At a ""Change We Need"" rally. Watch it live at http://My.BarackObama.com/Livestream",2008-11-01 21:31:02+00:00,2008,3,2
978470306,813286,Barack Obama,BarackObama,"Delivered my closing argument earlier today in Canton, Ohio. Watch the full speech at http://tinyurl.com/67pymg",en,"Delivered my closing argument earlier today in Canton, Ohio. Watch the full speech at http://tinyurl.com/67pymg",2008-10-28 03:57:23+00:00,2008,3,2
976539726,813286,Barack Obama,BarackObama,"In Fort Collins, CO. At an ""Early Vote for Change"" rally.  Watch it live at http://my.barackobama.com/livestream",en,"In Fort Collins, CO. At an ""Early Vote for Change"" rally.  Watch it live at http://my.barackobama.com/livestream",2008-10-26 21:22:41+00:00,2008,3,2
959818271,813286,Barack Obama,BarackObama,Launching a tax calculator at http://Taxcut.BarackObama.com. See how much of a tax cut you'll receive under my tax plan.,en,Launching a tax calculator at http://Taxcut.BarackObama.com. See how much of a tax cut you'll receive under my tax plan.,2008-10-14 23:30:06+00:00,2008,3,2
940806510,813286,Barack Obama,BarackObama,"In Reno, NV.  At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,"In Reno, NV.  At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",2008-09-30 17:07:11+00:00,2008,3,2
978002746,813286,Barack Obama,BarackObama,"In Pittsburgh, PA. At a ""Change We Need Rally.  Watch it live at http://My.BarackObama.com/Livestream",en,"In Pittsburgh, PA. At a ""Change We Need Rally.  Watch it live at http://My.BarackObama.com/Livestream",2008-10-27 21:28:00+00:00,2008,3,2
945036801,813286,Barack Obama,BarackObama,"In Abington, PA.  At a community gathering.  Watch it live now at http://my.barackobama.com/livestream",en,"In Abington, PA.  At a community gathering.  Watch it live now at http://my.barackobama.com/livestream",2008-10-03 15:25:12+00:00,2008,3,2
