,tweet id,user id,politician name,twitter handle,tweet text,tweet original lang,tweet created,election
0,943472724,813286,Barack Obama,BarackObama,Launching an official iPhone App. Tell iPhone users to visit http://barackobama.com/iphone to download the free app & start making calls.,en,2008-10-02 16:23:33+00:00,2008
1,965620801,813286,Barack Obama,BarackObama,"In Kansas City, MO.  At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-18 22:56:25+00:00,2008
2,943293898,813286,Barack Obama,BarackObama,"In Grand Rapids, MI.  At a ""Change We Need"" rally.  Watch it live now at http://my.barackobama.com/livestream",en,2008-10-02 14:09:40+00:00,2008
3,969051581,813286,Barack Obama,BarackObama,"In Florida at Palm Beach Community College, Lake Worth Campus.  Watch the event live at http://My.BarackObama.com/Livestream",en,2008-10-21 15:11:33+00:00,2008
4,964005719,813286,Barack Obama,BarackObama,"In Roanoke, VA at a ""Change We Need"" rally.  Watch it live at http://My/BarackObama.com/Livestream",en,2008-10-17 16:04:10+00:00,2008
5,988808304,813286,Barack Obama,BarackObama,"Asking you to vote Nov. 4th. Visit http://VoteForChange.com, call 877-874-6226 or text VOTE to 62262 to find your polling locations.",en,2008-11-04 04:50:12+00:00,2008
6,981628393,813286,Barack Obama,BarackObama,"In Kissimmee, FL. At an ""Early Vote for Change"" rally with President Bill Clinton.  Watch it live: http://My.BarackObama.com/Livestream",en,2008-10-30 03:21:06+00:00,2008
7,942566583,813286,Barack Obama,BarackObama,Asking you to work on behalf of democracy and register at least 1 or 2 more people to vote. http://tinyurl.com/4hny2a,en,2008-10-01 23:16:26+00:00,2008
8,985613491,813286,Barack Obama,BarackObama,"In Pueblo, CO.  At a ""Change We Need"" rally. Watch it live at http://My.BarackObama.com/Livestream",en,2008-11-01 21:31:02+00:00,2008
9,978470306,813286,Barack Obama,BarackObama,"Delivered my closing argument earlier today in Canton, Ohio. Watch the full speech at http://tinyurl.com/67pymg",en,2008-10-28 03:57:23+00:00,2008
10,976539726,813286,Barack Obama,BarackObama,"In Fort Collins, CO. At an ""Early Vote for Change"" rally.  Watch it live at http://my.barackobama.com/livestream",en,2008-10-26 21:22:41+00:00,2008
11,959818271,813286,Barack Obama,BarackObama,Launching a tax calculator at http://Taxcut.BarackObama.com. See how much of a tax cut you'll receive under my tax plan.,en,2008-10-14 23:30:06+00:00,2008
12,940806510,813286,Barack Obama,BarackObama,"In Reno, NV.  At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-09-30 17:07:11+00:00,2008
13,978002746,813286,Barack Obama,BarackObama,"In Pittsburgh, PA. At a ""Change We Need Rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-27 21:28:00+00:00,2008
14,945036801,813286,Barack Obama,BarackObama,"In Abington, PA.  At a community gathering.  Watch it live now at http://my.barackobama.com/livestream",en,2008-10-03 15:25:12+00:00,2008
15,969610873,813286,Barack Obama,BarackObama,"In Miami, FL. At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-21 22:02:21+00:00,2008
16,951497126,813286,Barack Obama,BarackObama,"With Senator Evan Bayh at a ""Change We Need"" Rally in Indianapolis, Indiana.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-08 16:30:11+00:00,2008
17,968082414,813286,Barack Obama,BarackObama,"In Orlando, FL.  At an ""Early Vote for Change Rally"" with Hillary Clinton.  Watch it live at http://my.barackobama.com/livestream",en,2008-10-20 22:06:33+00:00,2008
18,967723827,813286,Barack Obama,BarackObama,"In Tampa, FL at an ""Early Vote for Change"" rally.  Watch it live at http://My.BarackObama.com/LiveStream",en,2008-10-20 17:13:56+00:00,2008
19,970751903,813286,Barack Obama,BarackObama,"In Richmond, VA.  At a ""Change We Need"" rally at the Richmond Coliseum.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-22 16:52:14+00:00,2008
20,941985874,813286,Barack Obama,BarackObama,"In La Crosse, WI. At a  ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-10-01 14:59:55+00:00,2008
21,987051154,813286,Barack Obama,BarackObama,"In Cincinnati, OH. At a ""Change We Need"" rally.  Watch it live at http://My.BarackObama.com/Livestream",en,2008-11-03 02:14:32+00:00,2008
22,1131683013,813286,Barack Obama,BarackObama,"is asking you to honor Dr. Martin Luther King, Jr by volunteering in your area. Visit http://USAservice.org or text SERVE to 56333 for info.",en,2009-01-19 23:01:08+00:00,2008
23,989945416,813286,Barack Obama,BarackObama,Asking for your vote today. For polling location info visit http://VoteForChange.com or call 877-874-6226. Make sure everyone votes!,en,2008-11-04 19:49:57+00:00,2008
24,981270619,813286,Barack Obama,BarackObama,"In Sunrise Fl. At an ""Early Vote for Change"" rally.  Watch it live at http://my.barackobama.com/livestream",en,2008-10-29 22:38:54+00:00,2008
25,839676449,15022633,Dennis Kucinich,Dennis_Kucinich,Recruiting signatures for the impeachment petition on kucinich.us: http://impeachment.kucinich.us/petition/,en,2008-06-20 17:30:58+00:00,2008
26,1104460469,15022633,Dennis Kucinich,Dennis_Kucinich,is about to give a speech on the floor of the house. Watch CSpan around 10am Eastern,en,2009-01-08 14:43:03+00:00,2008
27,1116114597,15022633,Dennis Kucinich,Dennis_Kucinich,Will be giving a one minute speech on Israel-Gaza this afternoon shortly after 2:00 pm Eastern. Watch on www.c-span.org,en,2009-01-13 17:29:16+00:00,2008
28,1107421824,15022633,Dennis Kucinich,Dennis_Kucinich,About to walk to the Floor of the House to speak on the economy. Should be on around 2:30 pm ET www.c-span.org,en,2009-01-09 19:12:35+00:00,2008
29,901996839,15022633,Dennis Kucinich,Dennis_Kucinich,"is on the Randi Rhodes show at 3:30pm ET, Thursday Aug 28th",en,2008-08-28 18:58:11+00:00,2008
30,1107771456,15022633,Dennis Kucinich,Dennis_Kucinich,On Hardball around 5:15 pm Eastern talking about ecominic policy.,en,2009-01-09 21:53:51+00:00,2008
31,1119256239,15022633,Dennis Kucinich,Dennis_Kucinich,"Help Dept of Peace win national poll!
http://tinyurl.com/64r567",en,2009-01-14 20:55:42+00:00,2008
32,934872797,15022633,Dennis Kucinich,Dennis_Kucinich,"Dennis is on the radio tonight, 8:04 pm: http://www.peterbcollins.com/",en,2008-09-25 20:59:52+00:00,2008
33,1119647758,15022633,Dennis Kucinich,Dennis_Kucinich,DOP now 2nd pl on Change.org poll! Vote: http://tinyurl.com/64r567,en,2009-01-14 23:41:57+00:00,2008
34,1106962633,15022633,Dennis Kucinich,Dennis_Kucinich,"Preparing for the Paycheck Protection Act debate, up in around 45 minutes. Watch on www.c-span.org",en,2009-01-09 15:52:44+00:00,2008
35,1144604938,15022633,Dennis Kucinich,Dennis_Kucinich,going to be on Fox business this morning around 11.15 Eastern,en,2009-01-24 14:32:50+00:00,2008
36,1116821331,15022633,Dennis Kucinich,Dennis_Kucinich,"For our friends in the UK, I will be on BBC Radio 4 tomorrow night at 10pm GMT (5pm EST) speaking about Gaza http://www.bbc.co.uk/radio",en,2009-01-13 22:37:45+00:00,2008
37,901999197,15022633,Dennis Kucinich,Dennis_Kucinich,is on Cairo Radio CBS Radio Seattle 4:33PM ET Aug 28th,en,2008-08-28 19:00:33+00:00,2008
38,901995283,15022633,Dennis Kucinich,Dennis_Kucinich,"is at the Central Presbyterian Church in Denver. Congress and the law, impeachment. Remember to sign the petition at http://kucinich.us",en,2008-08-28 18:56:24+00:00,2008
39,1150509445,15022633,Dennis Kucinich,Dennis_Kucinich,Will be speaking for 1 hour on the economy on the Floor of the House from around 7:30/8pm Eastern.  Watch www.c-span.org,en,2009-01-26 23:14:52+00:00,2008
40,948885668,15022633,Dennis Kucinich,Dennis_Kucinich,"on the bailout: We Had Alternatives
http://tinyurl.com/3r2v6k",en,2008-10-06 22:42:53+00:00,2008
41,902018423,15022633,Dennis Kucinich,Dennis_Kucinich,"is on FOXNews, Hannity & Colmes 9:00pm ET Aug 28th",en,2008-08-28 19:20:51+00:00,2008
42,901997917,15022633,Dennis Kucinich,Dennis_Kucinich,"is on WTAM 1100 AM in Cleveland OH, 4:10pm ET August 28th",en,2008-08-28 18:59:17+00:00,2008
43,1149789466,15022633,Dennis Kucinich,Dennis_Kucinich,on my way to the floor of the House to give a 1 minute speech around 3pm Eastern watch on www.c-span.org,en,2009-01-26 18:43:57+00:00,2008
44,868370469,15022633,Dennis Kucinich,Dennis_Kucinich,Live on C-SPAN,en,2008-07-25 18:53:50+00:00,2008
45,838949071,15022633,Dennis Kucinich,Dennis_Kucinich,Getting the Kucinich volunteers ready for the La Sagrada Familia Annual Festival this weekend.,en,2008-06-19 20:22:39+00:00,2008
46,1150321098,15022633,Dennis Kucinich,Dennis_Kucinich,on Glenn Beck now Fox news - economy.,en,2009-01-26 22:02:55+00:00,2008
47,900679962,15022633,Dennis Kucinich,Dennis_Kucinich,"is on The Ed Schultz Show 12:00PM to 3:00PM (Eastern), Wednesday August 27th",en,2008-08-27 16:45:43+00:00,2008
48,1118355343,15022633,Dennis Kucinich,Dennis_Kucinich,getting in line to do a 1 minute speech on the economy. Watch around 10am Eastern www.c-span.org,en,2009-01-14 14:38:53+00:00,2008
49,854981477,15022633,Dennis Kucinich,Dennis_Kucinich,Watch Dennis on C-SPAN live now (only viewable on RealPlayer): rtsp://video1.c-span.org/15days/e071008_npelosi.rm,en,2008-07-10 20:16:27+00:00,2008
50,1094556179,15416505,Mike Huckabee,GovMikeHuckabee,Blog: My Apology http://tinyurl.com/7andgb,en,2009-01-04 03:34:37+00:00,2008
